doi,reason
10.1177/0013124599031003004,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1353/sof.2001.0010,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/10911350902987607,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.healthplace.2023.103004,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s40865-023-00228-z,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1089/jwh.2022.0256,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.3390/soc13030077,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/17488958231158469,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.ehb.2023.101239,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.paid.2009.05.021,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1215/00703370-10604036,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1002/ajhb.23895,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/02791072.2023.2202346,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/00380253.2023.2198583,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1177/01902725231161072,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1002/ab.22084,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/0044118x231164742,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/01944363.2022.2156380,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/ssqu.13270,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.socscimed.2009.03.015,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.4148/2572-1836.1172,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/jcpp.13813,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1111/bjhp.12667,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.econedurev.2023.102408,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/0044118x231168439,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1001/jamapsychiatry.2023.0716,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1891/LGBTQ-2022-0006,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s11187-023-00784-0,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
