doi,journal,reason
10.1177/0013124599031003004,Education and Urban Society,idconv: no PMCID
10.1353/sof.2001.0010,Social Forces,idconv: no PMCID
10.1080/10911350902987607,Journal of Human Behavior in the Social Environment,idconv: no PMCID
10.1016/j.healthplace.2023.103004,Health Place,abstract_only
10.1007/s40865-023-00228-z,Journal of Developmental and Life-Course Criminology,idconv: no PMCID
10.1089/jwh.2022.0256,Journal of Women's Health,abstract_only
10.3390/soc13030077,Societies,idconv: no PMCID
10.1177/17488958231158469,Criminology & Criminal Justice,idconv: no PMCID
10.1016/j.ehb.2023.101239,Economics & Human Biology,idconv: no PMCID
10.1016/j.paid.2009.05.021,Personality and Individual Differences,idconv: no PMCID
10.1215/00703370-10604036,Demography,abstract_only
10.1002/ajhb.23895,American Journal of Human Biology,idconv: no PMCID
10.1080/02791072.2023.2202346,Journal of Psychoactive Drugs,idconv: no PMCID
10.1080/00380253.2023.2198583,The Sociological Quarterly,abstract_only
10.1177/01902725231161072,Social Psychology Quarterly,idconv: no PMCID
10.1002/ab.22084,Aggressive Behavior,idconv: no PMCID
10.1177/0044118x231164742,Youth & Society,idconv: no PMCID
10.1080/01944363.2022.2156380,Journal of the American Planning Association,idconv: no PMCID
10.1111/ssqu.13270,Social Science Quarterly,idconv: no PMCID
10.1016/j.socscimed.2009.03.015,Social Science and Medicine,abstract_only
10.4148/2572-1836.1172,Health Behavior Research,idconv: no PMCID
10.1111/jcpp.13813,J Child Psychol Psychiatry,abstract_only
10.1111/bjhp.12667,British Journal of Health Psychology,idconv: no PMCID
10.1016/j.econedurev.2023.102408,Economics of Education Review,idconv: no PMCID
10.1177/0044118x231168439,Youth & Society,idconv: no PMCID
10.1001/jamapsychiatry.2023.0716,JAMA Psychiatry,abstract_only
10.1891/LGBTQ-2022-0006,Annals of LGBTQ Public and Population Health,idconv: no PMCID
10.1007/s11187-023-00784-0,Small Business Economics,idconv: no PMCID
10.1177/0306624x231176019,International Journal of Offender Therapy and Comparative Criminology,idconv: no PMCID
10.1007/s10611-023-10100-2,"Crime, Law and Social Change",idconv: no PMCID
10.1016/j.socscimed.2023.115966,Social Science & Medicine,abstract_only
10.1016/j.socnet.2023.04.005,Social Networks,abstract_only
10.1007/s10519-023-10145-y,Behav Genet,idconv: no PMCID
10.1215/00703370-10747542,Demography,abstract_only
10.1080/26904586.2023.2200773,"Journal of Family Trauma, Child Custody & Child Development",abstract_only
10.1038/oby.2009.97,Obesity,abstract_only
10.1007/s11113-023-09794-y,Population Research and Policy Review,idconv: no PMCID
10.1177/23294965231175822,Social Currents,idconv: no PMCID
10.1016/j.jcrimjus.2023.102066,Journal of Criminal Justice,idconv: no PMCID
10.1016/j.biopsycho.2023.108573,Biological Psychology,abstract_only
10.1016/j.drugalcdep.2023.109942,Drug and Alcohol Dependence,idconv: no PMCID
10.1002/dev.22403,Developmental Psychobiology,abstract_only
10.1111/j.1573-7861.2009.01118.x,Sociological Forum,idconv: no PMCID
10.1111/soin.12555,Sociological Inquiry,idconv: no PMCID
10.1016/j.jcrimjus.2023.102073,Journal of Criminal Justice,idconv: no PMCID
10.1016/j.sleh.2023.06.001,Sleep Health,idconv: no PMCID
10.1016/j.addbeh.2023.107799,Addictive Behaviors,idconv: no PMCID
10.1016/j.appdev.2023.101564,Journal of Applied Developmental Psychology,idconv: no PMCID
10.1016/j.drugalcdep.2009.01.020,Drug and Alcohol Dependence,idconv: no PMCID
10.1016/j.jadohealth.2023.05.018,J Adolesc Health,abstract_only
10.3390/socsci12050266,Social Sciences,idconv: no PMCID
10.1002/eat.23972,The International Journal of Eating Disorders,idconv: no PMCID
10.1016/j.healthplace.2023.103047,Health & Place,abstract_only
10.1002/ajcp.12680,American Journal of Community Psychology,idconv: no PMCID
10.1007/s12110-023-09451-5,Hum Nat,idconv: no PMCID
10.1016/j.jadohealth.2009.03.027,Journal of Adolescent Health,idconv: no PMCID
10.1080/16066359.2023.2225853,Addiction Research & Theory,idconv: no PMCID
10.1080/01639625.2023.2230513,Deviant Behavior,idconv: no PMCID
10.1080/00324728.2023.2174268,Population Studies,idconv: no PMCID
10.1177/0265407523118576,Journal of Social and Personal Relationships,idconv: no PMCID
10.1016/j.amepre.2023.06.014,American Journal of Preventive Medicine,idconv: no PMCID
